id,day,hour,duration,courseCode,handlingStaff,additionalStaff
1,1,1,1,CS7452,61703,""
2,1,3,1,CS7351,65852,""
3,1,5,4,IT7412,60713,"10020,701818,701966"
4,2,2,1,IT7402,701966,""
5,2,3,2,CS7451,60713,""
6,2,5,1,IT7401,34064,""
7,2,6,1,CS7351,65852,""
8,3,1,2,CS7452,61703,""
9,3,3,2,MA7451,64794,""
10,3,5,2,CS7451,60713,""
11,4,1,2,IT7401,34064,""
12,4,3,1,IT7402,701966,""
13,4,5,4,IT7411,67371,"702101,702289"
14,5,3,2,MA7451,64794,""
15,5,5,1,CS7452,61703,""
16,5,6,1,CS7351,65852,""
17,5,8,1,IT7402,701966,""
